District,College name,Branch,Official Website Link
Pune,College of Engineering Pune,Computer Engineering,https://www.coep.org.in
Pune,College of Engineering Pune,Mechanical Engineering,https://www.coep.org.in
Pune,Pimpri Chinchwad College of Engineering,Information Technology,https://www.pccoepune.com
Pune,Pimpri Chinchwad College of Engineering,Electronics and Telecommunication,https://www.pccoepune.com
Mumbai,Veermata Jijabai Technological Institute,Computer Engineering,https://vjti.ac.in
Mumbai,Veermata Jijabai Technological Institute,Civil Engineering,https://vjti.ac.in
Nagpur,Visvesvaraya National Institute of Technology Nagpur,Computer Science and Engineering,https://vnit.ac.in
Nagpur,Visvesvaraya National Institute of Technology Nagpur,Electrical Engineering,https://vnit.ac.in
Aurangabad,Govt College of Engineering Aurangabad,Computer Science and Engineering,https://www.geca.ac.in
Aurangabad,Govt College of Engineering Aurangabad,Mechanical Engineering,https://www.geca.ac.in
Nashik,K K Wagh Institute of Engineering Education and Research,Computer Engineering,https://engg.kkwagh.edu.in
Nashik,K K Wagh Institute of Engineering Education and Research,Civil Engineering,https://engg.kkwagh.edu.in
Kolhapur,DKTE Society's Textile and Engineering Institute,Textile Engineering,https://www.dkte.ac.in
Kolhapur,DKTE Society's Textile and Engineering Institute,Computer Science and Engineering,https://www.dkte.ac.in
Amravati,Govt College of Engineering Amravati,Electrical Engineering,https://www.gcoea.ac.in
Amravati,Govt College of Engineering Amravati,Information Technology,https://www.gcoea.ac.in
